id,search,chebiId,chebiAsciiName,searchScore,entityStar,levenshtein
135,Pimaradiene,CHEBI:50062,pimaradiene,12.12,3,0.0
136,Pimaradiene,CHEBI:78255,3alpha-hydroxy-ent-sandaracopimaradiene,0.18,3,28.0
137,Pimaradiene,CHEBI:69179,"sandaracopimaradiene-1alpha,9alpha-diol",0.14,2,28.0
138,Pimaradiene,CHEBI:69238,sandaracopimaradienediol,0.14,2,13.0
139,β-Cedrene,NOT FOUND,NOT FOUND,0.0,0,0.0
140,trans-Calamenene,NOT FOUND,NOT FOUND,0.0,0,0.0
141,"Widdra-2,4(14)-diene",NOT FOUND,NOT FOUND,0.0,0,0.0
142,β-Alaskene,NOT FOUND,NOT FOUND,0.0,0,0.0
143,Isolongifolol,NOT FOUND,NOT FOUND,0.0,0,0.0
144,Xanthorrizol,NOT FOUND,NOT FOUND,0.0,0,0.0
145,Cadinadiene,NOT FOUND,NOT FOUND,0.0,0,0.0
146,γ-Amorphene,NOT FOUND,NOT FOUND,0.0,0,0.0
147,"1,10-di-épi-Cubenol",NOT FOUND,NOT FOUND,0.0,0,0.0
148,1-epi-Cubenol,NOT FOUND,NOT FOUND,0.0,0,0.0
149,"Caryophylla-4(1),8(13)-dien-5-ol",NOT FOUND,NOT FOUND,0.0,0,0.0
150,14-hydroxy-9-epi (E)-caryophyllene,NOT FOUND,NOT FOUND,0.0,0,0.0
151,14-hydroxy-(Z)-caryophyllène,NOT FOUND,NOT FOUND,0.0,0,0.0
152,α-Muurolol,NOT FOUND,NOT FOUND,0.0,0,0.0
153,Isoledene,NOT FOUND,NOT FOUND,0.0,0,0.0
154,cis-β-Guaiene,NOT FOUND,NOT FOUND,0.0,0,0.0
155,γ-Patchoulene,NOT FOUND,NOT FOUND,0.0,0,0.0
156,Maaliol,NOT FOUND,NOT FOUND,0.0,0,0.0
157,Rosifoliol,NOT FOUND,NOT FOUND,0.0,0,0.0
158,"Selina-3,11-diene-6-α-ol",NOT FOUND,NOT FOUND,0.0,0,0.0
159,Selin-11-en-4-α-ol,NOT FOUND,NOT FOUND,0.0,0,0.0
160,γ-Costol,NOT FOUND,NOT FOUND,0.0,0,0.0
161,β-Costol,NOT FOUND,NOT FOUND,0.0,0,0.0
162,α-Costol,NOT FOUND,NOT FOUND,0.0,0,0.0
163,9-epi-(E)-Caryophyllene,NOT FOUND,NOT FOUND,0.0,0,0.0
164,Cubeban-11-ol,NOT FOUND,NOT FOUND,0.0,0,0.0
165,ρ-Cymene,NOT FOUND,NOT FOUND,0.0,0,0.0
166,2-Ethyl-1-hexanol,NOT FOUND,NOT FOUND,0.0,0,0.0
167,Terpinen-4-ol,NOT FOUND,NOT FOUND,0.0,0,0.0
168,trans-carvéol,NOT FOUND,NOT FOUND,0.0,0,0.0
169,Sempervirol,NOT FOUND,NOT FOUND,0.0,0,0.0
170,trans-Ferruginol,NOT FOUND,NOT FOUND,0.0,0,0.0
171,cis-Ferruginol,NOT FOUND,NOT FOUND,0.0,0,0.0
172,trans-Totarol,NOT FOUND,NOT FOUND,0.0,0,0.0
173,"Isopimara-9(11),15-diene",NOT FOUND,NOT FOUND,0.0,0,0.0
174,13-Isopimaradiene,NOT FOUND,NOT FOUND,0.0,0,0.0
175,Sandaracopimarinal,NOT FOUND,NOT FOUND,0.0,0,0.0
176,Sandaracopimarinol,NOT FOUND,NOT FOUND,0.0,0,0.0
177,Dolabadriene <13-epi>,NOT FOUND,NOT FOUND,0.0,0,0.0
178,Phyllocladene,NOT FOUND,NOT FOUND,0.0,0,0.0
179,Phyllocladanol,NOT FOUND,NOT FOUND,0.0,0,0.0
180,Rimuene,NOT FOUND,NOT FOUND,0.0,0,0.0
181,"Rosa-5,15-diene",NOT FOUND,NOT FOUND,0.0,0,0.0
